,Zeitstempel,ursprüngliche Frage,angeklickte FAQ-Frage,Anzahl expandieren,Anzahl zusammenklappen,Anzahl Klick zur Externen Quelle,URL zur externen FAQ Quelle,Autor der FAQ
40281,2021-04-25T12-43-19.882466,Muss man trotz Impfung in Quarantäne?,"Muss ich mich auch in Quarantäne begeben, wenn ich schon Corona hatte?",1,1,0,https://www.berlin.de/corona/faq/#faq_1_86,Der Regierende Bürgermeister von Berlin - Senatskanzlei
44326,2021-02-10T09-52-13.530904,Can I travel outside of Berlin?,Can I take a vacation outside of Berlin?,2,1,1,https://www.berlin.de/corona/faq/#faq_1_39,Der Regierende Bürgermeister von Berlin - Senatskanzlei
4752,2021-08-05T18-10-32.716033,Was tragen 6 jährige für masken in der schule,Besteht in den Berliner Schulen eine allgemeine Maskenpflicht?,1,1,0,https://www.berlin.de/sen/bjf/corona/schule/index.php#faq_1_7,"Berlin, Senatsverwaltung für Bildung, Jugend und Familie"
53475,2021-12-22T11-03-22.975796,Ich bin Kontaktperson. Bekomme ich einen kostenfreien PCR Test?,Wer hat Anspruch auf einen kostenlosen PCR-Test?,1,1,0,https://www.berlin.de/corona/faq/#accordion_faq_1_34,Der Regierende Bürgermeister von Berlin - Senatskanzlei
47466,2021-02-25T21-28-47.555425,Wann wird Gruppe drei geimpft,"Wann erhalte ich eine Benachrichtigung, wann ich geimpft werde?",2,1,1,https://www.berlin.de/corona/impfen/faq/#faq_1_36,Der Regierende Bürgermeister von Berlin - Senatskanzlei
4631,2021-08-04T22-11-48.032457,what should i do if i think i have covid,Maintenance measures Covid 19 Regulation,1,1,0,https://www.berlin.de/sen/pflege/pflege-und-rehabilitation/coronavirus/faq/#faq_1_2,"Berlin, Senatsverwaltung für Gesundheit, Pflege und Gleichstellung"
26509,2021-05-20T14-46-33.593966,Wie ist es aktuell wenn man eine Anzeige auf der Wache erstellen möchte,Ich habe das von Ihnen geforderte Eignungsgutachten erstellen lassen. Wie und wo kann ich es jetzt abgeben?,1,1,0,https://www.berlin.de/labo/mobilitaet/fahrerlaubnisse-personen-und-gueterbefoerderung/artikel.911946.php#faq_1_6,"Berlin, Landesamt für Bürger- und Ordnungsangelegenheiten"
61217,2021-11-23T10-18-19.467941,Wann kommt die neue Corona-Verordnung,Pflegemaßnahmen-Covid-19-Verordnung,1,1,0,https://www.berlin.de/sen/pflege/pflege-und-rehabilitation/coronavirus/faq/#faq_1_2,"Berlin, Senatsverwaltung für Gesundheit, Pflege und Gleichstellung"
59509,2021-11-18T16-56-00.626175,"Hello! I´ll travel to Berlin with my two kids next week. We have covid certificates, but the kids needs rapid tests for entering museums. Can we use the ""state-owned test center""? Or are those only for people living in Berlin?s",Can I take a vacation outside of Berlin?,1,1,0,https://www.berlin.de/corona/faq/#accordion_faq_1_48,Der Regierende Bürgermeister von Berlin - Senatskanzlei
14959,2021-06-09T08-55-00.474052,wie lange ffp2,Wo muss ich eine FFP2-Maske tragen?,1,1,0,https://www.berlin.de/corona/faq/#faq_1_54,Der Regierende Bürgermeister von Berlin - Senatskanzlei
11841,2021-07-26T09-04-53.700337,how long shall I isolate after a close contact,What do I do if I have had contact with a person who has tested positive?,1,1,0,https://www.berlin.de/corona/faq/#faq_1_76,Der Regierende Bürgermeister von Berlin - Senatskanzlei
47039,2021-02-24T09-52-39.479767,menschen mìt geistiger Behinderung,Welche Regelungen gelten für Werkstätten und Tagesförderstätten für Menschen mit Behinderungen?,1,1,0,https://www.berlin.de/sen/soziales/corona/#faq_1_10,"Berlin, Senatsverwaltung für Integration, Arbeit und Soziales"
29686,2021-04-02T12-56-42.826587,wann istdie impfhotline nicht besetzt,Wann muss ich zur Impfung erscheinen?,1,1,0,https://www.berlin.de/corona/impfen/faq/#faq_1_54,Der Regierende Bürgermeister von Berlin - Senatskanzlei
26582,2021-05-20T19-29-27.30277_,Wann haben die Restaurants wieder auf?,"Dürfen Restaurants, Cafés und Bars öffnen?",3,1,2,https://www.berlin.de/corona/faq/#faq_1_45,Der Regierende Bürgermeister von Berlin - Senatskanzlei
55256,2021-12-30T15-17-41.504165,Darf man im Cafe mit 50 Personen Geburtstag feiern?,Was muss ich bei Veranstaltungen beachten?,1,1,0,https://www.berlin.de/corona/faq/#accordion_faq_1_17,Der Regierende Bürgermeister von Berlin - Senatskanzlei
46712,2021-02-23T06-21-34.424843,Haushalt,Was gilt bei privaten Treffen und Trauerfeiern?,1,1,0,https://www.berlin.de/corona/faq/#faq_1_4,Der Regierende Bürgermeister von Berlin - Senatskanzlei
3317,2021-09-24T13-43-13.361624,positive test for covid,What happens in case of a positive test result?,1,1,0,https://www.berlin.de/sen/bjf/corona/tests/#accordion_faq_1_49,"Senatsverwaltung für Bildung, Jugend und Familie"
18029,2021-06-25T09-35-45.377052,Hi ich brauche dringend einen Termin für die Beantragung eines Reisepasses,Was ist mit Terminen beim Amt?,1,1,0,https://www.berlin.de/sen/soziales/corona/#faq_1_47,"Berlin, Senatsverwaltung für Integration, Arbeit und Soziales"
31984,2021-04-07T12-05-23.360048,ich möchte meinen Reisepass abholen,Ich möchte meinen Reiseausweis oder Ausweisersatz verlängern / abholen. Kann ich für diese Dienstleistung vorsprechen?,1,1,0,https://www.berlin.de/einwanderung/aufenthalt/artikel.909816.php#faq_1_11,"Berlin, Landesamt für Einwanderung"
2905,2021-09-22T05-25-07.115577,Register to my new apartment,Do I have to make a new appointment for the 2nd vaccination directly on site?,2,1,1,https://www.berlin.de/corona/impfen/faq/#accordion_faq_1_36,Der Regierende Bürgermeister von Berlin - Senatskanzlei
52203,2021-12-16T17-34-33.670757,Termin für Personalausweis dringend,"Kann ich bei Ihnen nur einen Termin buchen, mich online registrieren oder einen schriftlichen Antrag stellen, wenn ich in Berlin gemeldet bin?",1,1,0,https://www.berlin.de/einwanderung/aufenthalt/artikel.909816.php#faq_1_21,"Berlin, Landesamt für Einwanderung"
14402,2021-06-07T09-06-57.994897,wo muss ich das schutz- und hygienekonzept einreichen?,Was ist im Schutz- und Hygienekonzept darzulegen?,2,1,1,https://www.berlin.de/sen/arbeit/corona/#faq_1_23,"Berlin, Senatsverwaltung für Integration, Arbeit und Soziales"
56701,2021-11-09T12-09-53.740962,2G Regelung ab 12 jahren,Wann entfällt die Testpflicht für Kinder ab 6 Jahren und Schüler:innen?,2,1,1,https://www.berlin.de/corona/massnahmen/einzelhandel-und-dienstleistungen/fragen-und-antworten-zur-testpflicht-fuer-kund-innen-1075814.php#accordion_faq_1_3,"Berlin, Der Regierende Bürgermeister von Berlin - Senatskanzlei"
48614,2021-12-02T17-25-10.773401,Werden die Shisha Bars wieder geschlossen?sen,Sind Clubs geöffnet?,1,1,0,https://www.berlin.de/corona/faq/#accordion_faq_1_17,Der Regierende Bürgermeister von Berlin - Senatskanzlei
7154,2021-08-25T19-01-25.880271,Gilt beim elternabend die 3 G Regel,Welche Regeln gelten bei Eingewöhnungen und Elternabenden?,3,1,2,https://www.berlin.de/sen/bjf/corona/kita/index.php#accordion_faq_1_9,"Berlin, Senatsverwaltung für Bildung, Jugend und Familie"
5800,2021-08-16T23-23-55.671347,was,Wird mein BerlinPass im Jahr 2021 verlängert?,1,1,0,https://www.berlin.de/labo/entschaedigung-von-ns-unrecht/artikel.920121.php#faq_1_2,"Berlin, Landesamt für Bürger- und Ordnungsangelegenheiten"
50727,2021-12-10T12-12-58.504287,ich habe meine Impfbeweis verloren und habe keine  Impf,"Wie weise ich nach, dass ich eine Booster-Impfung bekommen habe?",1,1,0,https://www.berlin.de/corona/faq/#accordion_faq_1_11,Der Regierende Bürgermeister von Berlin - Senatskanzlei
60849,2021-11-22T14-21-09.379129,ab wann gilt 3G am Arbeitsplatz,Was muss ich im Umgang mit Covid-19 am Arbeitsplatz beachten (Arbeitsschutz allgemein)?,2,1,1,https://www.berlin.de/sen/arbeit/corona/#faq_1_35,"Berlin, Senatsverwaltung für Integration, Arbeit und Soziales"
60114,2021-11-20T14-05-44.18206_,"Hallo Ich möchte eine Teststation öffnen, was muss ich beachten und was sind die 1. Schritte? Ein Lokal ist vorhanden und Gewerbemedlung ebenfalls",Sind Schwimmbäder geöffnet?,1,1,0,https://www.berlin.de/corona/faq/#accordion_faq_1_17,Der Regierende Bürgermeister von Berlin - Senatskanzlei
63751,2021-10-13T10-09-56.711435,"If you need to take a rapid corona test as tourist, does it cost anything?",what is a corona antigen rapid test?,1,1,0,https://www.berlin.de/sen/bjf/corona/tests/#accordion_faq_1_48,"Senatsverwaltung für Bildung, Jugend und Familie"
10059,2021-07-12T18-11-38.109218,zweitimpfung,Wann erfolgt die zweite Impfung?,1,1,0,https://www.berlin.de/corona/impfen/faq/#faq_1_17,Der Regierende Bürgermeister von Berlin - Senatskanzlei
31831,2021-04-07T08-44-21.486853,Welche Regeln gelten für ein Reisebüro,Welche weiteren Regelungen für Büroarbeitsplätze gelten in Berlin?,1,1,0,https://www.berlin.de/corona/faq/#faq_1_35,Der Regierende Bürgermeister von Berlin - Senatskanzlei
70077,2021-01-13T11-22-13.461349,Darf man aus Mecklenburg-Vorpommern dienstlich nach Berlin einreisen?,Gilt die Quarantäneregelung auch für Menschen die aus einem anderen Bundesland nach Berlin einreisen?,2,1,1,https://www.berlin.de/corona/faq/#faq_1_31,Der Regierende Bürgermeister von Berlin - Senatskanzlei
13408,2021-06-02T18-57-34.049325,Ich bekomme kein Termin auf einem Bürgeramt.,Was ist mit Terminen beim Amt?,1,1,0,https://www.berlin.de/sen/soziales/corona/#faq_1_47,"Berlin, Senatsverwaltung für Integration, Arbeit und Soziales"
8010,2021-07-01T09-06-56.356632,Ffp2 maskenpflicht Einzelhandel,Wo muss ich eine FFP2-Maske tragen?,2,1,1,https://www.berlin.de/corona/faq/#faq_1_54,Der Regierende Bürgermeister von Berlin - Senatskanzlei
23804,2021-05-13T15-30-19.049697,Ich möchte am 6.juni 2021 in die Türkei fliegen. Bin voll geimpft.  Muss ich ein PCR Test bei der Rückreise nach Berlin machen?  Vielen Dank,Brauche ich für die Einreise nach Berlin einen Corona-Test?,1,1,0,https://www.berlin.de/corona/faq/#faq_1_60,Der Regierende Bürgermeister von Berlin - Senatskanzlei
9820,2021-07-11T07-21-54.486583,Can you eat at restaurants,"What do I have to consider when visiting a restaurant, café or bar?",1,1,0,https://www.berlin.de/corona/faq/#faq_1_43,Der Regierende Bürgermeister von Berlin - Senatskanzlei
43886,2021-02-07T23-43-35.646065,sind Blumenläden am Valentine geöffnet,Dürfen Geschäfte öffnen?,1,1,0,https://www.berlin.de/corona/faq/#faq_1_9,Der Regierende Bürgermeister von Berlin - Senatskanzlei
6566,2021-08-22T11-44-46.094931,How do I get my 7 month old tested?,My child was recently born in Germany. I now need a residence permit for my child. What can I do?,1,1,0,https://www.berlin.de/einwanderung/aufenthalt/artikel.909816.php#faq_1_54,"Berlin, Landesamt für Einwanderung"
13472,2021-06-03T06-08-37.337985,fahrerlaubnis verlängerung,"Wo kann ich aktuell einen Antrag auf Verlängerung der Gültigkeit einer Fahrerlaubnis der Klassen C, C1, CE, C1E, D, D1, DE oder D1E bzw. eine FzF (P-Schein) stellen?",1,1,0,https://www.berlin.de/labo/mobilitaet/fahrerlaubnisse-personen-und-gueterbefoerderung/artikel.911946.php#faq_1_20,"Berlin, Landesamt für Bürger- und Ordnungsangelegenheiten"
35252,2021-04-14T12-44-26.446699,private übernachtung,Darf ich mich mit anderen Menschen treffen?,1,1,0,https://www.berlin.de/corona/faq/#faq_1_3,Der Regierende Bürgermeister von Berlin - Senatskanzlei
61789,2021-11-24T10-22-31.864979,Per Test in Quarantäne,Was passiert bei einem positiven Testergebnis?,1,1,0,https://www.berlin.de/sen/bjf/corona/tests/#accordion_faq_1_32,"Senatsverwaltung für Bildung, Jugend und Familie"
6749,2021-08-23T12-44-57.874835,Ich habe Allergien,"Wann darf ich nicht geimpft werden? (Allergien, sonstige Erkrankungen)",1,1,0,https://www.berlin.de/corona/impfen/faq/#accordion_faq_1_85,Der Regierende Bürgermeister von Berlin - Senatskanzlei