train_test_split,german_only,learning_rate,epochs,decay,num_attention_heads,num_hidden_layers,random_state,train_bert,name_only,faq_q_only,remove_special_chars,weighted,current_model,shuffle_between_training,distill,sample_size,override,explainable,optimizer,output_attentions,output_hidden_states,batch_size,shuffle_tf,faq_tn,faq_fp,faq_fn,faq_tp,faq_false_positive_rate,faq_false_negative_rate,faq_true_negative_rate,faq_negative_predictive_value,faq_false_discovery_rate,faq_recall,faq_precision,faq_accuracy,faq_f1,faq_matthews_corr,services_tn,services_fp,services_fn,services_tp,services_false_positive_rate,services_false_negative_rate,services_true_negative_rate,services_negative_predictive_value,services_false_discovery_rate,services_recall,services_precision,services_accuracy,services_f1,services_matthews_corr,time[sec],loss_0,loss_1,loss_2,loss_3,loss_4,loss_5,loss_6,loss_7,sparse_categorical_accuracy_0,sparse_categorical_accuracy_1,sparse_categorical_accuracy_2,sparse_categorical_accuracy_3,sparse_categorical_accuracy_4,sparse_categorical_accuracy_5,sparse_categorical_accuracy_6,sparse_categorical_accuracy_7,val_loss_0,val_loss_1,val_loss_2,val_loss_3,val_loss_4,val_loss_5,val_loss_6,val_loss_7,val_sparse_categorical_accuracy_0,val_sparse_categorical_accuracy_1,val_sparse_categorical_accuracy_2,val_sparse_categorical_accuracy_3,val_sparse_categorical_accuracy_4,val_sparse_categorical_accuracy_5,val_sparse_categorical_accuracy_6,val_sparse_categorical_accuracy_7,loss_8,loss_9,sparse_categorical_accuracy_8,sparse_categorical_accuracy_9,loss_10,loss_11,loss_12,loss_13,loss_14,loss_15,sparse_categorical_accuracy_10,sparse_categorical_accuracy_11,sparse_categorical_accuracy_12,sparse_categorical_accuracy_13,sparse_categorical_accuracy_14,sparse_categorical_accuracy_15,cluster,enrich_FAQs,real_data
0.9,False,5e-05,8,0.0,12,12,100,True,True,True,True,True,german_standard_sota,False,False,2000,True,False,Adam,False,False,8,False,421.0,579.0,222.0,778.0,0.579,0.222,0.421,0.6547433903576982,0.4266764922623434,0.778,0.5733235077376566,0.5995,0.6601612218922359,0.2130382893307576,778.0,222.0,579.0,421.0,0.222,0.579,0.778,0.5733235077376566,0.3452566096423017,0.421,0.6547433903576982,0.5995,0.512477175897748,0.2130382893307576,651.1167540550232,0.1960377395153045,0.0284619089215993,0.0105664459988474,0.039947859942913,0.2154023200273513,0.0888149365782737,0.0538495481014251,0.0613841824233531,0.9482421875,0.9931640625,0.9970703125,0.9912109375,0.9658203125,0.98828125,0.994140625,0.994140625,0.1003588736057281,0.2798196673393249,0.2336670607328415,0.283444732427597,0.1755595803260803,0.1374845206737518,0.237637847661972,0.2022970616817474,0.9561403393745422,0.9561403393745422,0.9561403393745422,0.9561403393745422,0.9561403393745422,0.9561403393745422,0.9473684430122375,0.9561403393745422,,,,,,,,,,,,,,,,,,,
0.9,True,5e-05,8,0.01,12,12,100,True,True,True,True,True,german_standard_sota,False,False,2000,True,False,Adam,False,False,8,False,414.0,586.0,164.0,836.0,0.586,0.164,0.414,0.7162629757785467,0.4120956399437412,0.836,0.5879043600562588,0.625,0.690338563170933,0.2757568384622607,836.0,164.0,586.0,414.0,0.164,0.586,0.836,0.5879043600562588,0.2837370242214533,0.414,0.7162629757785467,0.625,0.5247148288973383,0.2757568384622607,650.8311493396759,0.1703943461179733,0.0163193419575691,0.0023801347706466,0.0011884840205311,0.0008292875718325,0.000697981507983,0.0005572107620537,0.0004870022821705,0.9541015625,0.9970703125,1.0,1.0,1.0,1.0,1.0,1.0,0.1336175352334976,0.1667613387107849,0.193584144115448,0.1963016092777252,0.2003119140863418,0.2033649682998657,0.2069563716650009,0.2106368392705917,0.9561403393745422,0.9649122953414916,0.9649122953414916,0.9649122953414916,0.9649122953414916,0.9649122953414916,0.9649122953414916,0.9649122953414916,,,,,,,,,,,,,,,,,,,
0.0,True,5e-05,8,0.01,12,12,100,True,True,True,True,True,german_standard_sota,False,False,2000,True,False,Adam,False,False,8,False,411.0,589.0,150.0,850.0,0.589,0.15,0.411,0.732620320855615,0.409312022237665,0.85,0.590687977762335,0.6305,0.6970069700697007,0.2904883232408575,850.0,150.0,589.0,411.0,0.15,0.589,0.85,0.590687977762335,0.267379679144385,0.411,0.732620320855615,0.6305,0.5265855221012171,0.2904883232408575,691.1453206539154,0.1822018921375274,0.0211257431656122,0.0039046157617121,0.0032320856116712,0.0010438686003908,0.0009342965204268,0.0006921926978975,0.0006167415413074,0.9507908821105956,0.9991212487220764,0.9991212487220764,0.9991212487220764,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,False,5e-05,8,0.01,12,12,100,True,True,True,True,True,german_standard_sota,False,False,2000,True,False,Adam,False,False,8,False,395.0,605.0,191.0,809.0,0.605,0.191,0.395,0.674061433447099,0.4278642149929278,0.809,0.5721357850070722,0.602,0.6702568351284176,0.2241076361141023,809.0,191.0,605.0,395.0,0.191,0.605,0.809,0.5721357850070722,0.325938566552901,0.395,0.674061433447099,0.602,0.498108448928121,0.2241076361141023,691.0625178813934,0.2061527818441391,0.025728665292263,0.0038545897696167,0.0012595340376719,0.0009682731470093,0.0007511937874369,0.0008041689288802,0.0005656534922309,0.9507908821105956,0.994727611541748,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,True,0.1,8,0.01,12,12,100,True,True,True,True,True,german_standard_sota,False,False,2000,True,False,Adam,False,False,8,False,1000.0,0.0,1000.0,0.0,0.0,1.0,1.0,0.5,,0.0,,0.5,0.0,0.0,0.0,1000.0,0.0,1000.0,1.0,0.0,0.0,,0.5,1.0,0.5,0.5,0.6666666666666666,0.0,690.4535520076752,10.468816757202148,5.111821174621582,4.335929393768311,4.5036492347717285,3.6967194080352783,3.544567346572876,3.5960214138031006,3.468482255935669,0.5711774826049805,0.5676625370979309,0.5869947075843811,0.5896309018135071,0.5579965114593506,0.6063268780708313,0.5702987909317017,0.557117760181427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,True,0.1,8,0.01,12,12,100,True,True,True,True,True,german_standard_sota,False,False,2000,True,False,Adam,False,False,8,False,0.0,1000.0,0.0,1000.0,1.0,0.0,0.0,,0.5,1.0,0.5,0.5,0.6666666666666666,0.0,1000.0,0.0,1000.0,0.0,0.0,1.0,1.0,0.5,,0.0,,0.5,0.0,0.0,706.2033998966217,6.921003341674805,4.548641681671143,4.441905498504639,4.033886432647705,3.006520748138428,2.944379568099976,2.7712297439575195,2.582033634185791,0.5940245985984802,0.5729349851608276,0.5896309018135071,0.5694200396537781,0.5913884043693542,0.5579965114593506,0.5641476511955261,0.5650263428688049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,True,0.01,8,0.01,12,12,100,True,True,True,True,True,german_standard_sota,False,False,2000,True,False,Adam,False,False,8,False,1000.0,0.0,1000.0,0.0,0.0,1.0,1.0,0.5,,0.0,,0.5,0.0,0.0,0.0,1000.0,0.0,1000.0,1.0,0.0,0.0,,0.5,1.0,0.5,0.5,0.6666666666666666,0.0,703.9330639839172,1.4448601007461548,1.0674042701721191,1.0299429893493652,1.03327476978302,0.9998080730438232,0.973574995994568,0.9437768459320068,0.9019113779067992,0.5808435678482056,0.6080843806266785,0.6177504658699036,0.6203866600990295,0.619507908821106,0.611599326133728,0.6379613280296326,0.6537785530090332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,True,0.005,8,0.01,12,12,100,True,True,True,True,True,german_standard_sota,False,False,2000,True,False,Adam,False,False,8,False,1000.0,0.0,1000.0,0.0,0.0,1.0,1.0,0.5,,0.0,,0.5,0.0,0.0,0.0,1000.0,0.0,1000.0,1.0,0.0,0.0,,0.5,1.0,0.5,0.5,0.6666666666666666,0.0,704.1896300315857,1.113608717918396,0.9807539582252502,0.9319885969161988,0.896605908870697,0.8685701489448547,0.8476040363311768,0.8517427444458008,0.8448033332824707,0.6001757383346558,0.631810188293457,0.6282952427864075,0.6546573042869568,0.6818980574607849,0.7144112586975098,0.7029876708984375,0.7108963131904602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,True,5e-06,8,0.01,12,12,100,True,True,True,True,True,german_standard_sota,False,False,2000,True,False,Adam,False,False,8,False,380.0,620.0,158.0,842.0,0.62,0.158,0.38,0.7063197026022305,0.4240766073871409,0.842,0.5759233926128591,0.611,0.6839967506092607,0.2503157348984475,842.0,158.0,620.0,380.0,0.158,0.62,0.842,0.5759233926128591,0.2936802973977695,0.38,0.7063197026022305,0.611,0.4941482444733419,0.2503157348984475,707.1348464488983,0.3536851704120636,0.161770761013031,0.1067850291728973,0.083901509642601,0.0632102340459823,0.0509000904858112,0.0435887165367603,0.036937229335308,0.9507908821105956,0.975395441055298,0.9876977205276488,0.9894551634788512,0.992091417312622,0.9938488602638244,0.9929701089859008,0.9956063032150269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,True,5e-05,8,0.01,12,12,100,True,True,True,True,True,german_standard_sota,False,False,2000,True,False,Adam,False,False,8,False,406.0,594.0,170.0,830.0,0.594,0.17,0.406,0.7048611111111112,0.4171348314606741,0.83,0.5828651685393258,0.618,0.6848184818481848,0.2605828121682301,830.0,170.0,594.0,406.0,0.17,0.594,0.83,0.5828651685393258,0.2951388888888889,0.406,0.7048611111111112,0.618,0.5152284263959391,0.2605828121682301,706.2806580066681,0.1983204334974289,0.0244106873869895,0.0104677062481641,0.0019417577423155,0.001091671991162,0.0007951636216603,0.0006812906940467,0.000598871090915,0.9507908821105956,0.997363805770874,0.9964850544929504,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,True,5e-05,4,0.01,12,12,100,True,True,True,True,True,german_standard_sota,False,False,2000,True,False,Adam,False,False,8,False,401.0,599.0,158.0,842.0,0.599,0.158,0.401,0.7173524150268337,0.4156835530881332,0.842,0.5843164469118668,0.6215,0.6898811962310528,0.2707499463547577,842.0,158.0,599.0,401.0,0.158,0.599,0.842,0.5843164469118668,0.2826475849731664,0.401,0.7173524150268337,0.6215,0.5144323284156512,0.2707499463547577,549.4619662761688,0.1891720592975616,0.024179209023714,0.0043213027529418,0.0014552605571225,,,,,0.9463971853256226,0.9964850544929504,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,True,5e-05,10,0.01,12,12,100,True,True,True,True,True,german_standard_sota,False,False,2000,True,False,Adam,False,False,8,False,424.0,576.0,164.0,836.0,0.576,0.164,0.424,0.7210884353741497,0.4079320113314447,0.836,0.5920679886685553,0.63,0.693200663349917,0.2853430746506795,836.0,164.0,576.0,424.0,0.164,0.576,0.836,0.5920679886685553,0.2789115646258503,0.424,0.7210884353741497,0.63,0.5340050377833753,0.2853430746506795,1353.4298872947693,0.1833866238594055,0.0388080663979053,0.0050745261833071,0.0017623993335291,0.0011453863698989,0.000860441243276,0.0006838338449597,0.0006313234916888,0.949912130832672,0.9903339147567748,0.9991212487220764,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,0.000548125070054,0.0004654710646718,1.0,1.0,,,,,,,,,,,,,,,
0.0,True,5e-05,16,0.01,12,12,100,True,True,True,True,True,german_standard_sota,False,False,2000,True,False,Adam,False,False,8,False,416.0,584.0,163.0,837.0,0.584,0.163,0.416,0.7184801381692574,0.4109781843771991,0.837,0.5890218156228009,0.6265,0.6914498141263941,0.2789229182218462,837.0,163.0,584.0,416.0,0.163,0.584,0.837,0.5890218156228009,0.2815198618307427,0.416,0.7184801381692574,0.6265,0.5269157694743509,0.2789229182218462,2155.850487947464,0.1713292300701141,0.0278474483639001,0.0038256021216511,0.0015419260598719,0.001287366496399,0.0008067259914241,0.0006901648594066,0.0005536301177926,0.9569420218467712,0.9964850544929504,0.9991212487220764,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,0.0005343425436876,0.0004432924324646,1.0,1.0,0.0004035782185383,0.0003746676666196,0.0003410265489947,0.0003095129504799,0.0003246655105613,0.0002792023296933,1.0,1.0,1.0,1.0,1.0,1.0,,,
0.0,True,5e-05,32,0.01,12,12,100,True,True,True,True,True,german_standard_sota,False,False,2000,False,False,Adam,False,False,8,False,421.0,579.0,172.0,828.0,0.579,0.172,0.421,0.7099494097807757,0.4115138592750533,0.828,0.5884861407249466,0.6245,0.6879933527212296,0.2725994352083747,828.0,172.0,579.0,421.0,0.172,0.579,0.828,0.5884861407249466,0.2900505902192243,0.421,0.7099494097807757,0.6245,0.5285624607658506,0.2725994352083747,2151.6440694332123,0.0388943515717983,0.0024034734815359,0.0004595462523866,0.0002171760424971,0.0001729751820676,0.0001566403661854,0.0001245065359398,0.0001187617017421,0.9938488602638244,0.9991212487220764,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,9.472070087213068e-05,0.0001035003588185,1.0,1.0,9.131312981480733e-05,7.939257193356752e-05,9.244833199772984e-05,7.58011155994609e-05,7.12176479282789e-05,6.576417217729613e-05,1.0,1.0,1.0,1.0,1.0,1.0,,,
0.0,True,5e-05,16,0.01,12,12,100,True,True,True,True,True,german_standard_sota,False,False,2000,True,False,Adam,False,False,8,False,397.0,603.0,154.0,846.0,0.603,0.154,0.397,0.720508166969147,0.4161490683229814,0.846,0.5838509316770186,0.6215,0.6908942425479787,0.2719545200415287,846.0,154.0,603.0,397.0,0.154,0.603,0.846,0.5838509316770186,0.279491833030853,0.397,0.720508166969147,0.6215,0.5119277885235333,0.2719545200415287,2154.337367296219,0.1958128958940506,0.0225766021758317,0.0082285283133387,0.0017094679642468,0.0010419081663712,0.0008303222712129,0.0006720055243931,0.0006058365106582,0.9463971853256226,0.9956063032150269,0.9982425570487976,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,0.0005207033245824,0.0004777476715389,1.0,1.0,0.000412821827922,0.0004147061263211,0.0003548581444192,0.0003599240735638,0.0003184131928719,0.0003190253919456,1.0,1.0,1.0,1.0,1.0,1.0,,,
0.0,True,5e-05,16,6.25e-06,12,12,100,True,True,True,True,True,german_standard_sota,False,False,2000,True,False,Adam,False,False,8,False,432.0,568.0,196.0,804.0,0.568,0.196,0.432,0.6878980891719745,0.4139941690962099,0.804,0.5860058309037901,0.618,0.6779089376053963,0.2542465833357067,804.0,196.0,568.0,432.0,0.196,0.568,0.804,0.5860058309037901,0.3121019108280254,0.432,0.6878980891719745,0.618,0.5307125307125307,0.2542465833357067,2152.8222830295563,0.1970676481723785,0.0551784336566925,0.0153256049379706,0.0328503213822841,0.0222695171833038,0.0004554972692858,0.0002561529690865,0.0001797939767129,0.9586994647979736,0.9885764718055724,0.9982425570487976,0.994727611541748,0.9982425570487976,1.0,1.0,1.0,,,,,,,,,,,,,,,,,0.0001404091453878,0.0001192759009427,1.0,1.0,9.04263069969602e-05,7.37300215405412e-05,6.674347241641954e-05,5.651656829286367e-05,4.89265366923064e-05,4.569812517729588e-05,1.0,1.0,1.0,1.0,1.0,1.0,,,
0.0,True,5e-05,16,3.125e-06,12,12,100,True,True,True,True,True,german_standard_sota,False,False,2000,True,False,Adam,False,False,8,False,465.0,535.0,260.0,740.0,0.535,0.26,0.465,0.6413793103448275,0.4196078431372549,0.74,0.5803921568627451,0.6025,0.6505494505494507,0.2132208966718609,740.0,260.0,535.0,465.0,0.26,0.535,0.74,0.5803921568627451,0.3586206896551724,0.465,0.6413793103448275,0.6025,0.5391304347826087,0.2132208966718609,1389.1268010139463,0.1912369579076767,0.0400515273213386,0.043669369071722,0.0007573909824714,0.0003130746481474,0.0002025531430263,0.0001727319613564,0.0001223626604769,0.9586994647979736,0.9876977205276488,0.9876977205276488,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,9.84657963272184e-05,8.406843699049205e-05,1.0,1.0,7.460295455530286e-05,6.240905349841341e-05,5.405895717558451e-05,4.85622622363735e-05,8.058718958636746e-05,0.1510617136955261,1.0,1.0,1.0,1.0,1.0,0.972759246826172,,,
0.0,True,5e-05,10,0.01,12,12,100,True,True,True,True,True,german_standard_sota,False,False,2000,True,False,Adam,False,False,8,False,423.0,577.0,180.0,820.0,0.577,0.18,0.423,0.7014925373134329,0.4130279169649248,0.82,0.5869720830350752,0.6215,0.6841885690446392,0.2647581967469326,820.0,180.0,577.0,423.0,0.18,0.577,0.82,0.5869720830350752,0.2985074626865671,0.423,0.7014925373134329,0.6215,0.527760449157829,0.2647581967469326,1363.3236966133118,0.185172438621521,0.0210504904389381,0.0028024083003401,0.0016762634040787,0.0012517765862867,0.0009423468145541,0.0008183954050764,0.0006570253754034,0.9613356590270996,0.997363805770874,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,0.0006020494038239,0.0008155457326211,1.0,1.0,,,,,,,,,,,,,,,
0.0,True,5e-05,10,5e-06,12,12,100,True,True,True,True,True,german_standard_sota,False,False,2000,True,False,Adam,False,False,8,False,430.0,570.0,206.0,794.0,0.57,0.206,0.43,0.6761006289308176,0.4178885630498534,0.794,0.5821114369501467,0.612,0.6717428087986465,0.2404984464759304,794.0,206.0,570.0,430.0,0.206,0.57,0.794,0.5821114369501467,0.3238993710691824,0.43,0.6761006289308176,0.612,0.5256723716381418,0.2404984464759304,1355.548681974411,0.1737531721591949,0.0651438310742378,0.0232638288289308,0.0150403184816241,0.0022602814715355,0.0555187165737152,0.0539294481277465,0.0257535744458436,0.9657293558120728,0.9841827750205994,0.9929701089859008,0.9982425570487976,1.0,0.9894551634788512,0.9912126660346984,0.994727611541748,,,,,,,,,,,,,,,,,0.0004787507932633,0.0075330114923417,1.0,0.9991212487220764,,,,,,,,,,,,,,,
0.0,True,5e-05,10,0.0,12,12,100,True,True,True,True,True,german_standard_sota,False,False,2000,True,False,Adam,False,False,8,False,304.0,696.0,76.0,924.0,0.696,0.076,0.304,0.8,0.4296296296296296,0.924,0.5703703703703704,0.614,0.7053435114503818,0.2905932629027115,924.0,76.0,696.0,304.0,0.076,0.696,0.924,0.5703703703703704,0.2,0.304,0.8,0.614,0.4405797101449274,0.2905932629027115,1357.2289996147156,0.1731732636690139,0.0486588552594184,0.0185622330754995,0.027702409774065,0.0006178858457133,0.000263896479737,0.0002597864659037,0.028157977387309,0.9604569673538208,0.9876977205276488,0.997363805770874,0.9938488602638244,1.0,1.0,1.0,0.9938488602638244,,,,,,,,,,,,,,,,,0.0232504829764366,0.0520803891122341,0.9929701089859008,0.9938488602638244,,,,,,,,,,,,,,,
0.0,True,5e-05,10,0.01,16,12,100,True,True,True,True,True,german_standard_sota,False,False,2000,True,False,Adam,False,False,8,False,406.0,594.0,164.0,836.0,0.594,0.164,0.406,0.712280701754386,0.4153846153846154,0.836,0.5846153846153846,0.621,0.6880658436213992,0.2680463633431434,836.0,164.0,594.0,406.0,0.164,0.594,0.836,0.5846153846153846,0.287719298245614,0.406,0.712280701754386,0.621,0.5171974522292994,0.2680463633431434,1353.6786193847656,0.1762203127145767,0.0309303440153598,0.0041734012775123,0.0014909433666616,0.0010666380403563,0.0008028070442378,0.0007317382842302,0.0006097077857702,0.95782071352005,0.9929701089859008,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,0.000516373780556,0.0004587120492942,1.0,1.0,,,,,,,,,,,,,,,
